draw,date,actual,predictions,mainline,support,hit_type,mark
6020,2022-08-18,2780,3420 / 3920 / 7720 / 7420 / 5760,3420 / 3920,7720 / 7420 / 5760,partial,△
6021,2022-08-19,2380,5520 / 9920 / 3320 / 3920 / 7720,5520 / 9920,3320 / 3920 / 7720,partial,△
6022,2022-08-22,5910,5320 / 3820 / 7320 / 9360 / 3220,5320 / 3820,7320 / 9360 / 3220,partial,△
6023,2022-08-23,7430,3310 / 7720 / 3220 / 9710 / 3420,3310 / 7720,3220 / 9710 / 3420,partial,△
6024,2022-08-24,6730,9920 / 7720 / 9910 / 9760 / 3410,9920 / 7720,9910 / 9760 / 3410,partial,△
6025,2022-08-25,4600,3510 / 3760 / 3320 / 3910 / 7720,3510 / 3760,3320 / 3910 / 7720,partial,△
6026,2022-08-26,8410,5920 / 8910 / 3720 / 3620 / 3810,5920 / 8910,3720 / 3620 / 3810,near,▲
6027,2022-08-29,2840,3720 / 3920 / 3750 / 3220 / 7420,3720 / 3920,3750 / 3220 / 7420,partial,△
6028,2022-08-30,6740,5420 / 9410 / 9320 / 5410 / 4420,5420 / 9410,9320 / 5410 / 4420,partial,△
6029,2022-08-31,9330,3920 / 3710 / 5520 / 8520 / 3550,3920 / 3710,5520 / 8520 / 3550,partial,△
6030,2022-09-01,0740,7360 / 7710 / 7420 / 5320 / 7760,7360 / 7710,7420 / 5320 / 7760,partial,△
6031,2022-09-02,5300,5520 / 3720 / 5720 / 7510 / 3920,5520 / 3720,5720 / 7510 / 3920,partial,△
6032,2022-09-05,1050,7320 / 9320 / 5320 / 1310 / 3410,7320 / 9320,5320 / 1310 / 3410,partial,△
6033,2022-09-06,7980,5390 / 7990 / 5910 / 7790 / 5320,5390 / 7990,5910 / 7790 / 5320,near,▲
6034,2022-09-07,3060,6720 / 9220 / 5720 / 9420 / 7760,6720 / 9220,5720 / 9420 / 7760,partial,△
6035,2022-09-08,7030,3720 / 6920 / 1920 / 7920 / 6720,3720 / 6920,1920 / 7920 / 6720,partial,△
6036,2022-09-09,1490,9960 / 9310 / 7910 / 9720 / 7960,9960 / 9310,7910 / 9720 / 7960,partial,△
6037,2022-09-12,6790,5790 / 3720 / 7790 / 5990 / 7490,5790 / 3720,7790 / 5990 / 7490,near,▲
6038,2022-09-13,2220,3520 / 3390 / 3320 / 3510 / 5790,3520 / 3390,3320 / 3510 / 5790,partial,△
6039,2022-09-14,7770,5720 / 6720 / 3420 / 3820 / 3710,5720 / 6720,3420 / 3820 / 3710,partial,△
6040,2022-09-15,8080,7720 / 7520 / 9510 / 6520 / 7710,7720 / 7520,9510 / 6520 / 7710,partial,※
6041,2022-09-16,2000,3720 / 3360 / 3820 / 9920 / 3310,3720 / 3360,3820 / 9920 / 3310,partial,△
6042,2022-09-19,3060,3920 / 3320 / 5910 / 3310 / 6910,3920 / 3320,5910 / 3310 / 6910,partial,△
6043,2022-09-20,1030,3720 / 1920 / 3910 / 5920 / 3710,3720 / 1920,3910 / 5920 / 3710,partial,△
6044,2022-09-21,8720,7920 / 3320 / 3910 / 5720 / 3360,7920 / 3320,3910 / 5720 / 3360,near,▲
6045,2022-09-22,3990,3320 / 3220 / 7520 / 3510 / 7920,3320 / 3220,7520 / 3510 / 7920,partial,△
6046,2022-09-23,7580,7720 / 6720 / 1720 / 5720 / 7710,7720 / 6720,1720 / 5720 / 7710,partial,△
6047,2022-09-26,2990,6420 / 7720 / 9720 / 9520 / 7920,6420 / 7720,9720 / 9520 / 7920,partial,△
6048,2022-09-27,9590,3790 / 7790 / 5720 / 6720 / 9320,3790 / 7790,5720 / 6720 / 9320,partial,△
6049,2022-09-28,4730,7790 / 7220 / 7410 / 7990 / 7320,7790 / 7220,7410 / 7990 / 7320,partial,△
6050,2022-09-29,8610,3520 / 5510 / 8720 / 3710 / 3320,3520 / 5510,8720 / 3710 / 3320,partial,△
6051,2022-09-30,0170,3710 / 3810 / 7910 / 7710 / 9910,3710 / 3810,7910 / 7710 / 9910,partial,△
6052,2022-10-03,6080,7360 / 7220 / 7920 / 7710 / 7820,7360 / 7220,7920 / 7710 / 7820,partial,△
6053,2022-10-04,9800,3320 / 8920 / 8720 / 5920 / 5320,3320 / 8920,8720 / 5920 / 5320,partial,△
6054,2022-10-05,8430,7720 / 7310 / 7220 / 7910 / 7440,7720 / 7310,7220 / 7910 / 7440,partial,△
6055,2022-10-06,5400,3420 / 7720 / 3460 / 3920 / 3960,3420 / 7720,3460 / 3920 / 3960,partial,△
6056,2022-10-07,0200,3710 / 7420 / 3410 / 9710 / 5410,3710 / 7420,3410 / 9710 / 5410,partial,△
6057,2022-10-10,9180,7410 / 8710 / 5720 / 8720 / 5410,7410 / 8710,5720 / 8720 / 5410,partial,△
6058,2022-10-11,3130,7420 / 7820 / 7360 / 7520 / 5420,7420 / 7820,7360 / 7520 / 5420,partial,△
6059,2022-10-12,6010,3360 / 6310 / 7310 / 3420 / 7420,3360 / 6310,7310 / 3420 / 7420,near,▲
6060,2022-10-13,4340,3310 / 3920 / 3320 / 7720 / 3810,3310 / 3920,3320 / 7720 / 3810,partial,△
6061,2022-10-14,7540,5320 / 5310 / 7320 / 8820 / 3820,5320 / 5310,7320 / 8820 / 3820,partial,△
6062,2022-10-17,7450,9410 / 9720 / 7720 / 9520 / 7710,9410 / 9720,7720 / 9520 / 7710,partial,△
6063,2022-10-18,8450,7790 / 7710 / 6490 / 9410 / 6710,7790 / 7710,6490 / 9410 / 6710,partial,△
6064,2022-10-19,5130,7790 / 3710 / 3990 / 7710 / 8490,7790 / 3710,3990 / 7710 / 8490,partial,△
6065,2022-10-20,6750,7310 / 7720 / 3310 / 7220 / 7760,7310 / 7720,3310 / 7220 / 7760,partial,△
6066,2022-10-21,5400,3590 / 8790 / 3990 / 5790 / 3290,3590 / 8790,3990 / 5790 / 3290,partial,△
6067,2022-10-24,0580,7410 / 3710 / 3420 / 9410 / 5720,7410 / 3710,3420 / 9410 / 5720,partial,△
6068,2022-10-25,7120,5420 / 7220 / 7520 / 7410 / 5520,5420 / 7220,7520 / 7410 / 5520,near,▲
6069,2022-10-26,0820,9420 / 9720 / 9920 / 6320 / 7820,9420 / 9720,9920 / 6320 / 7820,near,▲
6070,2022-10-27,1520,7320 / 7220 / 7410 / 7920 / 7480,7320 / 7220,7410 / 7920 / 7480,partial,△
6071,2022-10-28,9370,7720 / 5720 / 7520 / 5220 / 6420,7720 / 5720,7520 / 5220 / 6420,partial,△
6072,2022-10-31,1020,7420 / 7380 / 7340 / 7350 / 7880,7420 / 7380,7340 / 7350 / 7880,partial,△
6073,2022-11-01,5630,7920 / 5320 / 3920 / 3720 / 8720,7920 / 5320,3920 / 3720 / 8720,partial,△
6074,2022-11-02,0160,3920 / 9920 / 3720 / 5920 / 7760,3920 / 9920,3720 / 5920 / 7760,partial,△
6075,2022-11-03,5660,7720 / 7820 / 5320 / 7520 / 5220,7720 / 7820,5320 / 7520 / 5220,partial,△
6076,2022-11-04,7760,3920 / 3720 / 7620 / 1920 / 1720,3920 / 3720,7620 / 1920 / 1720,partial,△
6077,2022-11-07,9920,9720 / 9920 / 6720 / 5520 / 3720,9720 / 9920,6720 / 5520 / 3720,straight,◎
6078,2022-11-08,0550,7320 / 7710 / 7520 / 6720 / 4720,7320 / 7710,7520 / 6720 / 4720,partial,△
6079,2022-11-09,0180,7790 / 7590 / 8490 / 7290 / 9490,7790 / 7590,8490 / 7290 / 9490,partial,△
6080,2022-11-10,7900,7420 / 7820 / 5320 / 7520 / 8820,7420 / 7820,5320 / 7520 / 8820,partial,△
6081,2022-11-11,5350,7710 / 9420 / 9320 / 9220 / 7760,7710 / 9420,9320 / 9220 / 7760,partial,△
6082,2022-11-14,9400,7320 / 7490 / 7790 / 7890 / 9490,7320 / 7490,7790 / 7890 / 9490,near,▲
6083,2022-11-15,7820,7710 / 7220 / 5420 / 7820 / 9420,7710 / 7220,5420 / 7820 / 9420,straight,◎
6084,2022-11-16,2850,6420 / 7320 / 9720 / 9920 / 9820,6420 / 7320,9720 / 9920 / 9820,partial,△
6085,2022-11-17,5560,7490 / 3490 / 9790 / 5420 / 9440,7490 / 3490,9790 / 5420 / 9440,partial,△
6086,2022-11-18,5490,7520 / 3420 / 7220 / 1420 / 3720,7520 / 3420,7220 / 1420 / 3720,partial,△
6087,2022-11-21,4310,7790 / 5720 / 9420 / 3720 / 5790,7790 / 5720,9420 / 3720 / 5790,partial,△
6088,2022-11-22,9670,8320 / 8310 / 7320 / 5350 / 7310,8320 / 8310,7320 / 5350 / 7310,partial,△
6089,2022-11-23,8620,7820 / 7520 / 7120 / 7710 / 7940,7820 / 7520,7120 / 7710 / 7940,partial,△
6090,2022-11-24,3490,7720 / 3820 / 9920 / 7820 / 7120,7720 / 3820,9920 / 7820 / 7120,partial,△
6091,2022-11-25,8180,5420 / 3420 / 5490 / 7490 / 3490,5420 / 3420,5490 / 7490 / 3490,partial,※
6092,2022-11-28,2970,3720 / 3820 / 7420 / 7720 / 7920,3720 / 3820,7420 / 7720 / 7920,box,〇
6093,2022-11-29,2070,7720 / 5320 / 3720 / 9760 / 3320,7720 / 5320,3720 / 9760 / 3320,partial,△
6094,2022-11-30,0170,5920 / 9720 / 7720 / 9960 / 3720,5920 / 9720,7720 / 9960 / 3720,partial,△
6095,2022-12-01,4730,7720 / 7220 / 5320 / 7360 / 5920,7720 / 7220,5320 / 7360 / 5920,partial,△
6096,2022-12-02,7560,8520 / 5560 / 5320 / 5710 / 5220,8520 / 5560,5320 / 5710 / 5220,near,▲
6097,2022-12-05,4550,6420 / 9720 / 9220 / 7720 / 9480,6420 / 9720,9220 / 7720 / 9480,partial,△
6098,2022-12-06,5420,5420 / 8420 / 7490 / 8410 / 5440,5420 / 8420,7490 / 8410 / 5440,straight,◎
6099,2022-12-07,7630,5420 / 5720 / 3720 / 1420 / 8720,5420 / 5720,3720 / 1420 / 8720,partial,△
6100,2022-12-08,3530,9620 / 9820 / 9120 / 7620 / 6920,9620 / 9820,9120 / 7620 / 6920,partial,※
6101,2022-12-09,4860,6420 / 5460 / 6460 / 7460 / 9420,6420 / 5460,6460 / 7460 / 9420,partial,△
6102,2022-12-12,6410,7420 / 5720 / 5410 / 8320 / 5490,7420 / 5720,5410 / 8320 / 5490,near,▲
6103,2022-12-13,5000,5420 / 3720 / 5720 / 7410 / 3450,5420 / 3720,5720 / 7410 / 3450,partial,△
6104,2022-12-14,3690,7920 / 5920 / 5720 / 5320 / 7310,7920 / 5920,5720 / 5320 / 7310,partial,△
6105,2022-12-15,6920,6620 / 5820 / 7920 / 7620 / 5520,6620 / 5820,7920 / 7620 / 5520,near,▲
6106,2022-12-16,4280,7720 / 3420 / 5420 / 7420 / 7220,7720 / 3420,5420 / 7420 / 7220,partial,△
6107,2022-12-19,1840,8720 / 7720 / 3720 / 3420 / 6420,8720 / 7720,3720 / 3420 / 6420,partial,△
6108,2022-12-20,8530,3420 / 5410 / 4420 / 7720 / 3320,3420 / 5410,4420 / 7720 / 3320,partial,△
6109,2022-12-21,5220,7420 / 5420 / 9420 / 8420 / 5460,7420 / 5420,9420 / 8420 / 5460,near,▲
6110,2022-12-22,8790,5720 / 3420 / 7820 / 9420 / 8420,5720 / 3420,7820 / 9420 / 8420,partial,△
6111,2022-12-23,6940,3720 / 3320 / 3790 / 5590 / 6520,3720 / 3320,3790 / 5590 / 6520,partial,△
6112,2022-12-26,8980,7720 / 3420 / 5420 / 5220 / 7320,7720 / 3420,5420 / 5220 / 7320,partial,※
6113,2022-12-27,1310,3320 / 5720 / 8720 / 9720 / 3760,3320 / 5720,8720 / 9720 / 3760,partial,△
6114,2022-12-28,9530,5820 / 5520 / 3320 / 5720 / 7720,5820 / 5520,3320 / 5720 / 7720,partial,△
6115,2022-12-29,3350,7460 / 7220 / 7720 / 7120 / 6420,7460 / 7220,7720 / 7120 / 6420,partial,※
6116,2022-12-30,5720,6390 / 1390 / 5490 / 5320 / 3490,6390 / 1390,5490 / 5320 / 3490,near,▲
6117,2023-01-04,4090,3520 / 5720 / 3720 / 7920 / 9920,3520 / 5720,3720 / 7920 / 9920,partial,△
6118,2023-01-05,5920,5720 / 8320 / 5820 / 8720 / 5120,5720 / 8320,5820 / 8720 / 5120,near,▲
6119,2023-01-06,6520,3720 / 3320 / 5320 / 7220 / 5520,3720 / 3320,5320 / 7220 / 5520,near,▲
6120,2023-01-09,3950,8420 / 3520 / 8520 / 6420 / 3720,8420 / 3520,8520 / 6420 / 3720,partial,△
6121,2023-01-10,6080,6790 / 8790 / 5390 / 3390 / 1790,6790 / 8790,5390 / 3390 / 1790,partial,△
6122,2023-01-11,7510,3320 / 3720 / 5720 / 8320 / 7320,3320 / 3720,5720 / 8320 / 7320,partial,△
6123,2023-01-12,7020,6420 / 9410 / 5520 / 7520 / 9450,6420 / 9410,5520 / 7520 / 9450,near,▲
6124,2023-01-13,2330,9320 / 5920 / 7720 / 9820 / 6620,9320 / 5920,7720 / 9820 / 6620,partial,△
6125,2023-01-16,9250,3320 / 5420 / 6320 / 9820 / 9360,3320 / 5420,6320 / 9820 / 9360,partial,△
6126,2023-01-17,5250,7490 / 7710 / 7820 / 5490 / 7750,7490 / 7710,7820 / 5490 / 7750,partial,△
6127,2023-01-18,4620,5790 / 5720 / 9790 / 3790 / 5890,5790 / 5720,9790 / 3790 / 5890,partial,△
6128,2023-01-19,0130,5520 / 8920 / 5120 / 8620 / 3620,5520 / 8920,5120 / 8620 / 3620,partial,△
6129,2023-01-20,2030,5320 / 5420 / 7820 / 5220 / 8820,5320 / 5420,7820 / 5220 / 8820,partial,△
6130,2023-01-23,3490,5320 / 5620 / 5820 / 9620 / 5910,5320 / 5620,5820 / 9620 / 5910,partial,△
6131,2023-01-24,4280,7420 / 5720 / 6720 / 5490 / 8720,7420 / 5720,6720 / 5490 / 8720,partial,△
6132,2023-01-25,2240,5820 / 5220 / 8820 / 3720 / 3820,5820 / 5220,8820 / 3720 / 3820,partial,△
6133,2023-01-26,2480,9420 / 9820 / 3720 / 5220 / 3820,9420 / 9820,3720 / 5220 / 3820,partial,△
6134,2023-01-27,2380,5720 / 6420 / 7420 / 5220 / 9820,5720 / 6420,7420 / 5220 / 9820,partial,△
6135,2023-01-30,0340,3320 / 9420 / 5520 / 7320 / 3820,3320 / 9420,5520 / 7320 / 3820,partial,△
6136,2023-01-31,4570,7420 / 5420 / 3320 / 7520 / 8820,7420 / 5420,3320 / 7520 / 8820,partial,△
6137,2023-02-01,7810,8420 / 5460 / 5450 / 4420 / 5120,8420 / 5460,5450 / 4420 / 5120,partial,△
6138,2023-02-02,7660,6420 / 9410 / 7320 / 3420 / 7720,6420 / 9410,7320 / 3420 / 7720,partial,△
6139,2023-02-03,5340,9620 / 7820 / 5920 / 7720 / 5520,9620 / 7820,5920 / 7720 / 5520,partial,△
6140,2023-02-06,5090,3320 / 7820 / 5820 / 5520 / 7220,3320 / 7820,5820 / 5520 / 7220,partial,△
6141,2023-02-07,6970,5320 / 7720 / 3920 / 7620 / 7390,5320 / 7720,3920 / 7620 / 7390,partial,△
6142,2023-02-08,9900,3320 / 3720 / 5420 / 3220 / 5620,3320 / 3720,5420 / 3220 / 5620,partial,※
6143,2023-02-09,8100,7220 / 5320 / 7710 / 7520 / 7210,7220 / 5320,7710 / 7520 / 7210,partial,△
6144,2023-02-10,4140,3220 / 3820 / 7320 / 3310 / 9320,3220 / 3820,7320 / 3310 / 9320,partial,△
6145,2023-02-13,5770,5220 / 5520 / 8320 / 3320 / 6320,5220 / 5520,8320 / 3320 / 6320,partial,△
6146,2023-02-14,1370,3520 / 5320 / 7720 / 5720 / 5580,3520 / 5320,7720 / 5720 / 5580,partial,△
6147,2023-02-15,4890,5820 / 3320 / 5420 / 5310 / 7820,5820 / 3320,5420 / 5310 / 7820,partial,△
6148,2023-02-16,1680,5490 / 5390 / 5920 / 5820 / 5410,5490 / 5390,5920 / 5820 / 5410,partial,△
6149,2023-02-17,4140,5820 / 5120 / 7920 / 7620 / 7520,5820 / 5120,7920 / 7620 / 7520,partial,△
6150,2023-02-20,1270,5220 / 5520 / 8320 / 3320 / 4320,5220 / 5520,8320 / 3320 / 4320,partial,△
6151,2023-02-21,0180,5820 / 5320 / 5760 / 5520 / 3720,5820 / 5320,5760 / 5520 / 3720,partial,△
6152,2023-02-22,5170,7220 / 5920 / 7420 / 5820 / 3320,7220 / 5920,7420 / 5820 / 3320,partial,△
6153,2023-02-23,1560,5220 / 7220 / 5820 / 7920 / 5520,5220 / 7220,5820 / 7920 / 5520,partial,△
6154,2023-02-24,3070,5220 / 5120 / 5320 / 4420 / 5490,5220 / 5120,5320 / 4420 / 5490,partial,△
6155,2023-02-27,1070,6920 / 6320 / 7920 / 5960 / 6960,6920 / 6320,7920 / 5960 / 6960,partial,△
6156,2023-02-28,1880,5720 / 5620 / 5360 / 5980 / 5950,5720 / 5620,5360 / 5980 / 5950,partial,△
6157,2023-03-01,9850,5220 / 4420 / 3420 / 5720 / 8420,5220 / 4420,3420 / 5720 / 8420,partial,△
6158,2023-03-02,5680,7390 / 5420 / 7320 / 7990 / 7220,7390 / 5420,7320 / 7990 / 7220,partial,△
6159,2023-03-03,0060,3920 / 9920 / 7620 / 7820 / 7720,3920 / 9920,7620 / 7820 / 7720,partial,△
6160,2023-03-06,7480,7920 / 7820 / 5620 / 5720 / 3920,7920 / 7820,5620 / 5720 / 3920,partial,△
6161,2023-03-07,3860,7420 / 9920 / 7720 / 5720 / 7920,7420 / 9920,7720 / 5720 / 7920,partial,※
6162,2023-03-08,4820,3420 / 7420 / 8420 / 3320 / 6220,3420 / 7420,8420 / 3320 / 6220,box,〇
6163,2023-03-09,1400,5820 / 3420 / 4420 / 5920 / 5520,5820 / 3420,4420 / 5920 / 5520,partial,△
6164,2023-03-10,6820,5820 / 5410 / 7420 / 3420 / 3820,5820 / 5410,7420 / 3420 / 3820,near,▲
