draw,date,actual,predictions,mainline,support,hit_type,mark
5941,2022-04-29,5450,8820 / 3320 / 7720 / 8890 / 7820,8820 / 3320,7720 / 8890 / 7820,partial,※
5942,2022-05-02,1390,3990 / 9790 / 9890 / 7790 / 3390,3990 / 9790,9890 / 7790 / 3390,near,▲
5943,2022-05-03,1130,3320 / 5820 / 7390 / 8320 / 5220,3320 / 5820,7390 / 8320 / 5220,partial,△
5944,2022-05-04,2220,5220 / 5360 / 5310 / 5920 / 7820,5220 / 5360,5310 / 5920 / 7820,near,▲
5945,2022-05-05,9770,9220 / 3720 / 5720 / 5820 / 5420,9220 / 3720,5720 / 5820 / 5420,partial,△
5946,2022-05-06,1270,7320 / 5520 / 7920 / 7360 / 9320,7320 / 5520,7920 / 7360 / 9320,partial,△
5947,2022-05-09,0860,3720 / 5420 / 5760 / 3820 / 5790,3720 / 5420,5760 / 3820 / 5790,partial,△
5948,2022-05-10,5330,8320 / 8420 / 3320 / 7720 / 1420,8320 / 8420,3320 / 7720 / 1420,partial,△
5949,2022-05-11,8040,3360 / 3820 / 3310 / 1320 / 6320,3360 / 3820,3310 / 1320 / 6320,partial,△
5950,2022-05-12,6610,3820 / 8320 / 7320 / 9920 / 3350,3820 / 8320,7320 / 9920 / 3350,partial,※
5951,2022-05-13,3480,3920 / 3320 / 3620 / 3720 / 7920,3920 / 3320,3620 / 3720 / 7920,partial,△
5952,2022-05-16,3040,3720 / 3820 / 6220 / 5420 / 7720,3720 / 3820,6220 / 5420 / 7720,partial,△
5953,2022-05-17,9600,5320 / 3820 / 1320 / 7320 / 1920,5320 / 3820,1320 / 7320 / 1920,partial,△
5954,2022-05-18,0150,7720 / 5820 / 9920 / 9820 / 6920,7720 / 5820,9920 / 9820 / 6920,partial,△
5955,2022-05-19,2720,8390 / 7290 / 1390 / 8890 / 5320,8390 / 7290,1390 / 8890 / 5320,partial,△
5956,2022-05-20,3340,9520 / 5520 / 3320 / 3720 / 3220,9520 / 5520,3320 / 3720 / 3220,near,▲
5957,2022-05-23,8010,5320 / 7320 / 3820 / 6820 / 6310,5320 / 7320,3820 / 6820 / 6310,partial,△
5958,2022-05-24,5740,3920 / 3720 / 9320 / 3910 / 9310,3920 / 3720,9320 / 3910 / 9310,partial,△
5959,2022-05-25,5750,9320 / 7720 / 9520 / 5720 / 3310,9320 / 7720,9520 / 5720 / 3310,near,▲
5960,2022-05-26,1280,3790 / 9590 / 5790 / 5390 / 1790,3790 / 9590,5790 / 5390 / 1790,partial,△
5961,2022-05-27,3930,3720 / 5220 / 5420 / 3820 / 8820,3720 / 5220,5420 / 3820 / 8820,partial,△
5962,2022-05-30,5900,6720 / 3220 / 5320 / 3760 / 5220,6720 / 3220,5320 / 3760 / 5220,partial,△
5963,2022-05-31,0580,9720 / 3220 / 9320 / 9220 / 1720,9720 / 3220,9320 / 9220 / 1720,partial,※
5964,2022-06-01,3570,7420 / 8420 / 7720 / 3220 / 7920,7420 / 8420,7720 / 3220 / 7920,partial,△
5965,2022-06-02,3120,3420 / 5420 / 6420 / 5440 / 5460,3420 / 5420,6420 / 5440 / 5460,near,▲
5966,2022-06-03,9190,6320 / 8320 / 5220 / 1320 / 3420,6320 / 8320,5220 / 1320 / 3420,partial,△
5967,2022-06-06,1970,7220 / 9390 / 7290 / 7820 / 7310,7220 / 9390,7290 / 7820 / 7310,partial,△
5968,2022-06-07,1980,5220 / 3720 / 5740 / 5340 / 3760,5220 / 3720,5740 / 5340 / 3760,partial,※
5969,2022-06-08,1850,5220 / 7720 / 3220 / 5760 / 5920,5220 / 7720,3220 / 5760 / 5920,partial,△
5970,2022-06-09,3630,3390 / 5990 / 5790 / 7390 / 3790,3390 / 5990,5790 / 7390 / 3790,partial,△
5971,2022-06-10,8080,5920 / 3960 / 3620 / 3720 / 6960,5920 / 3960,3620 / 3720 / 6960,partial,※
5972,2022-06-13,3660,3720 / 9920 / 9320 / 3340 / 5320,3720 / 9920,9320 / 3340 / 5320,partial,△
5973,2022-06-14,8400,3620 / 6920 / 3720 / 3320 / 5620,3620 / 6920,3720 / 3320 / 5620,partial,※
5974,2022-06-15,9680,3920 / 3410 / 3710 / 3810 / 9920,3920 / 3410,3710 / 3810 / 9920,partial,△
5975,2022-06-16,3020,7620 / 9920 / 5820 / 3920 / 8920,7620 / 9920,5820 / 3920 / 8920,near,▲
5976,2022-06-17,0920,3720 / 5320 / 5920 / 8920 / 5720,3720 / 5320,5920 / 8920 / 5720,near,▲
5977,2022-06-20,0990,3720 / 7320 / 7220 / 8220 / 9320,3720 / 7320,7220 / 8220 / 9320,partial,△
5978,2022-06-21,2560,3720 / 3790 / 3390 / 8790 / 5320,3720 / 3790,3390 / 8790 / 5320,partial,△
5979,2022-06-22,5230,9920 / 5420 / 9720 / 3920 / 5920,9920 / 5420,9720 / 3920 / 5920,partial,△
5980,2022-06-23,0570,3760 / 7720 / 3220 / 3320 / 1720,3760 / 7720,3220 / 3320 / 1720,partial,△
5981,2022-06-24,4330,8220 / 5420 / 3220 / 7460 / 8260,8220 / 5420,3220 / 7460 / 8260,partial,△
5982,2022-06-27,3350,8320 / 8360 / 3310 / 8820 / 8340,8320 / 8360,3310 / 8820 / 8340,near,▲
5983,2022-06-28,2100,5390 / 3320 / 3890 / 3310 / 1890,5390 / 3320,3890 / 3310 / 1890,partial,△
5984,2022-06-29,3500,9220 / 5320 / 3310 / 9820 / 9210,9220 / 5320,3310 / 9820 / 9210,partial,△
5985,2022-06-30,8410,3320 / 3720 / 8220 / 3210 / 3820,3320 / 3720,8220 / 3210 / 3820,partial,△
5986,2022-07-01,7710,3410 / 3450 / 3710 / 3750 / 3440,3410 / 3450,3710 / 3750 / 3440,near,▲
5987,2022-07-04,9210,9510 / 9550 / 9310 / 9920 / 3310,9510 / 9550,9310 / 9920 / 3310,near,▲
5988,2022-07-05,4400,7750 / 7410 / 7420 / 5720 / 7320,7750 / 7410,7420 / 5720 / 7320,partial,△
5989,2022-07-06,6770,5420 / 8410 / 5410 / 3710 / 3820,5420 / 8410,5410 / 3710 / 3820,partial,△
5990,2022-07-07,3360,3320 / 3360 / 3220 / 3740 / 3580,3320 / 3360,3220 / 3740 / 3580,straight,◎
5991,2022-07-08,2090,8320 / 3820 / 1320 / 3390 / 3220,8320 / 3820,1320 / 3390 / 3220,partial,△
5992,2022-07-11,9030,3320 / 9990 / 9920 / 3920 / 3720,3320 / 9990,9920 / 3920 / 3720,partial,△
5993,2022-07-12,7260,7920 / 3320 / 5320 / 3360 / 5920,7920 / 3320,5320 / 3360 / 5920,partial,△
5994,2022-07-13,6790,9220 / 3720 / 9320 / 9410 / 9780,9220 / 3720,9320 / 9410 / 9780,partial,△
5995,2022-07-14,7910,3590 / 3320 / 3520 / 3220 / 5790,3590 / 3320,3520 / 3220 / 5790,partial,△
5996,2022-07-15,6560,9310 / 9320 / 9750 / 9350 / 9910,9310 / 9320,9750 / 9350 / 9910,partial,△
5997,2022-07-18,1360,3410 / 3320 / 3520 / 8420 / 3820,3410 / 3320,3520 / 8420 / 3820,partial,△
5998,2022-07-19,1400,3310 / 3360 / 5360 / 5820 / 5810,3310 / 3360,5360 / 5820 / 5810,partial,△
5999,2022-07-20,0780,5710 / 3420 / 3710 / 5220 / 5460,5710 / 3420,3710 / 5220 / 5460,partial,△
6000,2022-07-21,9900,7520 / 3720 / 3520 / 3320 / 1520,7520 / 3720,3520 / 3320 / 1520,partial,※
6001,2022-07-22,3060,7220 / 7210 / 5710 / 7760 / 5320,7220 / 7210,5710 / 7760 / 5320,partial,△
6002,2022-07-25,5400,3720 / 6920 / 8920 / 1920 / 1320,3720 / 6920,8920 / 1920 / 1320,partial,※
6003,2022-07-26,0620,3720 / 3910 / 3920 / 3210 / 1710,3720 / 3910,3920 / 3210 / 1710,partial,△
6004,2022-07-27,6450,7920 / 1920 / 9920 / 5620 / 5820,7920 / 1920,9920 / 5620 / 5820,partial,△
6005,2022-07-28,3980,3990 / 3410 / 5490 / 3710 / 1490,3990 / 3410,5490 / 3710 / 1490,near,▲
6006,2022-07-29,1250,3320 / 3760 / 8720 / 6220 / 1220,3320 / 3760,8720 / 6220 / 1220,near,▲
6007,2022-08-01,7870,5490 / 5290 / 7790 / 3710 / 5750,5490 / 5290,7790 / 3710 / 5750,partial,△
6008,2022-08-02,7910,9320 / 9410 / 9440 / 9450 / 9310,9320 / 9410,9440 / 9450 / 9310,partial,△
6009,2022-08-03,4530,9720 / 9320 / 9750 / 6710 / 9420,9720 / 9320,9750 / 6710 / 9420,partial,△
6010,2022-08-04,0570,3220 / 5460 / 5220 / 3260 / 5520,3220 / 5460,5220 / 3260 / 5520,partial,△
6011,2022-08-05,7710,7220 / 3220 / 5460 / 7260 / 1460,7220 / 3220,5460 / 7260 / 1460,partial,△
6012,2022-08-08,3940,9520 / 9550 / 9310 / 9210 / 6710,9520 / 9550,9310 / 9210 / 6710,partial,△
6013,2022-08-09,9320,3220 / 5720 / 1720 / 7720 / 1220,3220 / 5720,1720 / 7720 / 1220,partial,△
6014,2022-08-10,4900,5320 / 7720 / 7420 / 6320 / 5420,5320 / 7720,7420 / 6320 / 5420,partial,△
6015,2022-08-11,7790,5720 / 5710 / 3310 / 8720 / 8320,5720 / 5710,3310 / 8720 / 8320,partial,△
6016,2022-08-12,7500,9520 / 9390 / 9990 / 9290 / 9910,9520 / 9390,9990 / 9290 / 9910,partial,△
6017,2022-08-15,5540,9410 / 9920 / 9520 / 7420 / 9710,9410 / 9920,9520 / 7420 / 9710,partial,△
6018,2022-08-16,8020,3520 / 3720 / 7420 / 9420 / 5520,3520 / 3720,7420 / 9420 / 5520,partial,△
6019,2022-08-17,1480,3720 / 3910 / 9920 / 7920 / 5920,3720 / 3910,9920 / 7920 / 5920,partial,△
